id,value,fips,lat,lon,state,county,city,CMAQ,zcta,zcta_area,zcta_pop,imp_a500,imp_a1000,imp_a5000,imp_a10000,imp_a15000,county_area,county_pop,log_dist_to_prisec,log_pri_length_5000,log_pri_length_10000,log_pri_length_15000,log_pri_length_25000,log_prisec_length_500,log_prisec_length_1000,log_prisec_length_5000,log_prisec_length_10000,log_prisec_length_15000,log_prisec_length_25000,log_nei_2008_pm25_sum_10000,log_nei_2008_pm25_sum_15000,log_nei_2008_pm25_sum_25000,log_nei_2008_pm10_sum_10000,log_nei_2008_pm10_sum_15000,log_nei_2008_pm10_sum_25000,popdens_county,popdens_zcta,nohs,somehs,hs,somecollege,associate,bachelor,grad,pov,hs_orless,urc2013,urc2006,aod
1003.001,9.597647059,1003,30.498001,-87.881412,Alabama,Baldwin,Fairhope,8.098836034,36532,190980522,27829,0.017301038,1.409602076,3.336011813,1.987918656,1.438620693,4117521611,182265,4.648180539,8.517193191,9.210340372,9.6302282,11.32734812,7.29535593,8.195118871,10.81504218,11.88680318,12.20572305,13.4139528,0.318035438,1.967358961,5.067308131,1.355885109,2.26783411,5.628728391,44.26570574,145.7164307,3.3,4.9,25.1,19.7,8.2,25.3,13.5,6.1,33.3,4,5,37.36363636
1027.0001,10.8,1027,33.281261,-85.802182,Alabama,Clay,Ashland,9.76620814,36251,374132430,5103,1.969723183,0.853157439,0.985147866,0.52081887,0.335919794,1564252280,13932,7.219907019,8.517193191,9.210340372,9.61580548,10.1266311,6.214608098,7.60090246,10.17087788,11.40554309,12.0429629,12.79979783,3.218632928,3.218632928,3.218632928,3.311116478,3.311116478,3.311116478,8.906491733,13.63955538,11.6,19.1,33.9,18.8,8,5.5,3.1,19.5,64.6,6,6,34.81818182
1033.1002,11.21217391,1033,34.758781,-87.650562,Alabama,Colbert,Muscle Shoals,9.402678817,35660,16716984,9042,19.17301038,11.14489619,15.17861538,9.725387019,5.247209386,1534877333,54428,5.760130586,8.517193191,9.274303155,9.658898636,10.1576915,8.611944773,9.735569084,11.77040715,12.84066347,13.28265629,13.79973481,6.573127301,6.581917457,6.875899578,6.691873127,6.701277408,7.148858423,35.46081425,540.8870404,7.3,15.8,30.6,20.9,7.6,12.7,5.1,19,53.7,4,4,36
1049.1003,11.65909091,1049,34.287627,-85.968298,Alabama,DeKalb,Crossville,8.534772474,35962,203836235,8300,5.78200692,3.867647059,1.231141432,1.031646888,0.973044428,2012662359,71109,3.721489023,8.517193191,10.40941107,11.17362632,11.90959074,7.310154502,8.585842574,10.21420029,11.50894448,12.35366256,13.55979309,0,3.282789151,4.887665469,0,3.350044428,5.171920189,35.33081427,40.71896246,14.3,16.7,35,14.9,5.5,7.9,5.8,13.8,66,6,5,33.08333333
1055.001,12.37539432,1055,33.993749,-85.991072,Alabama,Etowah,Gadsden,9.241743625,35901,154069359,20045,16.49307958,11.09645329,14.67778782,8.220078494,5.161210171,1385618994,104430,5.261457405,9.0665629,11.13736024,11.58725844,12.01355834,8.740679864,9.627897603,11.72888892,12.76827937,13.18948861,13.70026088,3.772775514,3.785646441,4.160506364,4.437198843,4.462679325,4.678311026,75.36703845,130.1037411,4.3,13.3,27.8,29.2,10.1,10,5.4,8.8,45.4,4,4,43.41666667
1069.0003,10.50884956,1069,31.226359,-85.390768,Alabama,Houston,Dothan,9.121892443,36303,162685124,30217,19.13927336,16.67149654,16.38548211,8.073962394,4.740129604,1501737720,101547,7.11237265,8.517193191,9.210340372,9.61580548,10.1266311,6.214608098,7.60090246,12.29862726,12.99414106,13.32613151,13.85549659,0.909136688,3.174609213,3.190007668,0.928888905,3.674739043,3.7446287,67.61966397,185.7391706,5.8,11.6,29.8,21.4,7.9,13.7,9.8,15.6,47.2,4,4,33
1073.0023,15.59101655,1073,33.553056,-86.815,Alabama,Jefferson,Birmingham,10.23561168,35207,26929603,9010,41.83304498,41.03200692,36.00406256,23.17904127,17.45248441,2878192209,658466,6.600958306,11.15697669,11.84965833,12.40124482,12.98762299,6.214608098,9.075921022,12.28164458,13.27841632,13.82636473,14.45220838,7.987614168,8.438952213,8.65106836,8.209759579,8.648834554,8.858019108,228.7776327,334.5760426,7.1,17.1,37.2,23.5,7.3,5.9,2,25.5,61.4,1,1,39.58333333
1073.1005,12.39935484,1073,33.331111,-87.003611,Alabama,Jefferson,Not in a city,10.23561168,35111,166239542,16140,1.69765343,3.982392777,6.021321732,4.556773057,4.300622606,2878192209,658466,6.526895582,10.91506643,11.72868544,12.23020773,12.86472239,6.214608098,8.949238578,11.03900128,12.12895569,12.7530449,13.80016727,5.41295499,6.643477321,7.806772886,5.77118113,6.868896765,8.021071511,228.7776327,97.08881416,2.7,6.6,30.7,25.7,8,17.6,8.7,7.3,40,1,1,38.75
1073.1009,11.1037037,1073,33.459722,-87.305556,Alabama,Jefferson,Not in a city,8.161788618,35444,385566685,3699,0,0.029195502,0.139835631,0.147496771,0.162335898,3423328940,194656,9.789556585,8.517193191,9.210340372,9.61580548,10.1266311,6.214608098,7.60090246,8.517193191,9.210340372,9.61580548,11.89377119,0.002167007,0.002167007,6.362328519,0.016549626,0.016549626,6.891991583,56.86161143,9.593671196,11.1,11.6,46,17.2,4.1,7.1,2.9,8.1,68.7,1,1,40.36363636
1073.101,13.11454545,1073,33.545278,-86.549167,Alabama,Jefferson,Leeds,9.303765525,35094,148994881,14212,0.060553633,0.415008651,4.163530993,2.697079643,2.995655681,2878192209,658466,7.301544587,9.683336446,10.76338511,11.6157103,12.53776811,6.214608098,7.60090246,11.26264503,12.14100827,12.85170953,14.0891496,6.294072844,6.389428467,7.30206663,6.421248539,6.624111372,7.549058657,228.7776327,95.38582738,7.2,12.2,32.2,19,6.8,14.8,7.7,10.5,51.6,1,1,42.45454545
